Age (Years),Gender,Reported Height (cm),Reported Weight (kg),Shoe Size IT
49.7,Male,175.0,91.0,42.0
53.1,Male,172.0,66.0,42.0
32.7,Male,170.0,58.0,40.5
39.7,Male,185.0,74.0,43.5
31.9,Male,171.0,71.5,40.5
27.5,Male,180.0,80.0,43.0
21.0,Male,187.0,70.0,42.5
53.7,Male,177.0,87.0,43.0
53.0,Male,168.0,73.0,40.0
20.3,Male,179.0,72.0,43.5
18.9,Male,172.0,64.0,42.5
20.2,Male,170.0,68.0,43.5
28.3,Male,170.0,62.0,41.0
34.9,Male,169.0,56.0,41.5
47.6,Male,180.0,89.0,43.5
21.1,Male,177.0,75.0,42.5
59.5,Male,170.0,69.5,42.0
43.1,Male,169.0,72.0,40.0
46.7,Male,175.0,72.0,43.0
23.2,Male,170.0,80.0,41.0
21.9,Male,174.0,68.0,40.0
25.3,Male,179.0,85.0,42.5
22.8,Male,179.0,73.0,43.0
44.0,Male,176.0,70.0,41.0
19.7,Male,182.0,70.0,42.0
20.1,Male,175.0,65.0,42.5
27.8,Male,173.0,68.0,39.5
19.8,Male,175.0,70.0,42.5
52.5,Male,168.0,82.0,40.0
29.0,Male,170.0,64.0,41.5
20.0,Male,180.0,70.0,43.0
20.2,Male,175.0,56.0,41.5
28.0,Male,170.0,70.0,42.0
27.1,Male,172.0,66.0,42.0
26.2,Male,181.5,69.0,42.5
22.2,Male,170.0,63.0,43.0
41.7,Male,172.0,77.0,41.5
25.9,Male,174.0,67.0,42.5
18.9,Male,175.0,60.0,41.0
39.0,Male,168.0,67.0,42.0
57.8,Male,161.0,76.0,38.0
35.6,Male,170.0,69.0,42.0
25.9,Male,176.0,65.0,41.5
24.7,Male,172.0,69.0,41.0
24.4,Male,174.0,86.0,43.5
35.3,Male,172.0,77.0,41.0
18.2,Male,172.0,56.0,42.0
58.3,Male,175.0,75.0,43.0
57.8,Male,181.0,85.0,43.0
21.1,Male,175.0,71.0,42.0
33.1,Male,182.0,90.0,42.0
20.8,Male,165.0,62.0,41.0
21.5,Male,177.0,66.0,39.0
32.4,Male,172.0,73.0,41.0
22.6,Male,170.0,60.0,42.0
39.9,Male,172.0,67.0,43.0
20.0,Male,173.0,73.0,41.5
38.9,Male,174.0,80.0,42.0
20.0,Male,177.0,90.0,43.5
28.1,Male,181.5,73.0,43.5
21.3,Male,173.0,65.0,40.0
55.4,Male,177.0,76.0,40.0
23.8,Male,178.0,72.0,43.5
22.0,Male,176.0,64.0,43.0
40.5,Male,180.0,80.0,41.0
46.8,Male,172.0,78.0,41.0
32.2,Male,182.0,75.0,43.0
60.3,Male,176.0,81.0,43.5
21.9,Male,175.0,63.0,42.0
32.3,Male,172.0,71.0,41.0
21.5,Male,172.0,64.0,41.5
27.2,Male,190.0,69.0,43.5
27.0,Male,181.0,70.0,42.0
23.4,Male,180.0,67.0,42.0
41.7,Male,174.0,76.0,42.0
27.0,Male,178.0,74.0,43.0
44.2,Male,168.0,60.0,40.5
38.6,Male,178.0,79.0,42.0
35.2,Male,178.0,82.0,40.5
18.5,Male,167.0,63.0,42.0
44.2,Male,171.0,82.0,41.0
29.1,Male,181.0,82.0,42.5
26.3,Male,182.0,83.0,42.5
29.9,Male,165.0,69.0,40.5
24.4,Male,169.0,72.0,43.0
29.3,Male,168.0,87.0,41.0
36.4,Male,168.0,66.0,40.0
44.7,Male,168.0,70.0,42.0
22.2,Male,165.0,73.0,41.0
51.8,Male,169.0,81.0,42.0
38.1,Male,175.0,80.0,40.5
26.2,Male,175.0,70.0,42.5
20.7,Male,170.0,69.0,41.5
60.3,Male,150.0,59.0,38.0
43.8,Male,173.0,77.0,42.0
20.9,Male,185.0,85.0,43.5
20.3,Male,170.0,66.0,41.0
60.4,Male,169.0,77.0,42.0
33.7,Male,174.0,74.0,42.5
56.9,Male,176.0,80.0,43.5
32.1,Male,174.0,78.0,42.0
31.5,Male,167.0,70.0,43.0
53.1,Male,165.0,66.0,41.0
43.6,Male,170.0,73.0,43.0
46.8,Male,169.0,74.0,41.0
24.3,Male,170.0,80.0,42.5
26.3,Male,178.0,72.0,43.5
58.1,Male,166.0,79.0,42.0
45.1,Male,170.0,68.0,41.0
24.1,Male,173.0,67.0,42.0
24.4,Male,171.0,85.0,43.0
25.5,Male,180.0,85.0,43.0
25.1,Male,169.0,77.0,41.0
20.8,Male,176.0,78.0,43.5
51.2,Male,167.0,81.0,40.0
21.6,Male,175.0,60.0,42.0
41.0,Male,172.0,71.0,42.0
22.4,Male,173.0,60.0,42.0
19.7,Male,176.0,60.0,43.0
54.5,Male,172.0,74.0,41.5
22.2,Male,170.0,63.0,42.0
20.6,Male,174.0,70.0,42.5
36.0,Male,173.0,70.0,42.0
44.8,Male,173.0,70.0,41.0
26.2,Male,178.0,78.0,42.0
20.5,Male,169.0,66.0,43.0
19.8,Male,176.0,76.0,43.0
30.8,Male,175.0,68.0,42.0
21.3,Male,174.0,60.0,43.0
21.7,Male,180.0,85.0,42.5
56.7,Male,178.0,82.0,42.5
26.3,Male,173.0,65.0,43.5
26.0,Male,180.0,82.0,43.0
55.4,Male,173.0,78.0,41.0
19.5,Male,177.0,68.0,41.0
25.0,Male,182.0,65.0,41.5
20.0,Male,182.0,70.0,43.0
18.8,Male,165.0,63.0,40.5
19.6,Male,184.0,78.0,42.0
42.2,Male,172.0,78.0,42.5
21.9,Male,177.0,57.0,43.0
56.4,Male,175.0,97.0,43.0
59.5,Male,174.0,70.0,41.5
42.7,Male,173.0,75.0,43.0
31.2,Male,180.0,72.0,43.0
25.8,Male,178.0,74.0,41.0
29.4,Male,173.0,85.0,43.0
26.9,Male,180.0,70.0,42.0
20.5,Male,176.0,72.0,42.5
21.9,Male,172.0,57.0,42.0
65.0,Male,170.0,75.0,42.0
26.6,Male,175.0,80.0,43.0
35.8,Male,180.0,60.0,42.5
