Jacket Size IT,Pants Size Waist
54,41.3
50,37.4
48,31.5
52,35.4
50,33.5
50,37.4
50,35.4
54,39.4
50,35.4
48,33.5
48,31.5
52,35.4
48,31.5
48,33.5
56,41.3
50,35.4
48,35.4
48,35.4
50,33.5
52,37.4
48,31.5
52,37.4
48,33.5
48,35.4
48,31.5
48,33.5
50,33.5
50,33.5
50,37.4
48,33.5
48,35.4
48,31.5
48,33.5
50,31.5
50,31.5
48,31.5
52,37.4
48,33.5
50,31.5
48,37.4
50,35.4
48,35.4
48,31.5
50,31.5
48,35.4
50,37.4
48,31.5
50,37.4
54,43.3
48,31.5
52,35.4
48,33.5
48,35.4
52,35.4
48,31.5
48,33.5
48,33.5
54,33.5
54,43.3
50,35.4
48,33.5
48,37.4
48,33.5
48,33.5
48,33.5
50,37.4
52,37.4
56,43.3
48,31.5
50,35.4
48,31.5
52,31.5
50,35.4
48,31.5
50,37.4
48,31.5
48,31.5
52,35.4
50,37.4
50,33.5
50,35.4
50,35.4
52,35.4
48,35.4
48,31.5
52,35.4
48,33.5
48,33.5
48,35.4
52,37.4
50,37.4
48,33.5
50,35.4
50,35.4
50,37.4
50,37.4
48,35.4
50,35.4
50,35.4
50,35.4
48,35.4
48,33.5
50,35.4
50,35.4
50,31.5
52,39.4
48,33.5
52,41.3
48,35.4
50,33.5
52,39.4
50,33.5
48,33.5
50,35.4
52,41.3
48,31.5
48,31.5
48,31.5
48,31.5
50,37.4
48,33.5
48,31.5
50,31.5
48,35.4
52,35.4
50,35.4
50,35.4
50,31.5
48,33.5
50,37.4
54,39.4
48,33.5
50,35.4
52,37.4
48,31.5
48,33.5
48,33.5
48,33.5
48,31.5
56,39.4
48,31.5
52,41.3
50,39.4
52,37.4
48,31.5
48,33.5
52,37.4
52,33.5
48,35.4
48,33.5
52,41.3
48,33.5
50,35.4
